acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
0,1,0.0,prac,0,m,30000.0,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),41571.5,I,z,6471,,,5,no,2,7993.700000047684,33577.799999952316,LNDPRSKQB,LNDPRSJQB,8036,LC,C,,,1
1,1,0.0,prac,1,m,30000.0,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),47786.09999996424,I,m,4679,,,3,no,2,6208.300000011921,41577.799999952316,QHZXPC,QHZWPC,8036,LC,C,,,2
2,1,0.0,prac,1,z,30000.0,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),50901.5,I,z,1587,,,4,yes,2,3111.100000023842,47790.39999997616,RSM,RSM,8036,LC,C,,,3
3,1,0.0,prac,1,z,30000.0,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),61914.89999997616,I,z,9480,,,6,yes,2,11009.300000011921,50905.59999996424,CSDBFPHXZ,CSDBFPHXZ,8036,LC,C,,,4
4,1,0.0,prac,1,m,30000.0,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),65163.69999998808,I,m,1712,,,1,no,2,3243.600000023842,61920.09999996424,RNV,FNV,8036,LC,C,,,5
5,1,0.0,prac,1,z,30000.0,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),71461.69999998808,I,z,4769,,,2,yes,2,6293.699999988079,65168.0,NBGFSM,NBGFSM,8036,LC,C,,,6
1,1,2.382999897003174,test,1,m,27617.000102996826,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),79592.89999997616,I,m,2372,2372,,1,no,2,2380.100000023842,77212.79999995232,HCF,RCF,8036,LC,C,75162,,1
1,1,7.265000104904175,test,0,m,22734.999895095825,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),84474.79999995232,I,z,4869,4869,,2,no,2,4878.399999976158,79596.39999997616,QTPRJX,QTPNJX,8036,LC,C,77546,,2
2,1,11.680000066757202,test,1,m,18319.999933242798,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),88889.79999995232,I,m,4411,4411,,3,no,2,4411.5,84478.29999995232,MZDYGVGKQ,MZDYGLBKQ,8036,LC,C,82428,,3
3,1,14.178999900817871,test,1,m,15821.000099182129,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),91389.0,I,m,2484,2484,,4,no,2,2495.800000011921,88893.19999998808,FQTNMK,JQTNMK,8036,LC,C,86843,,4
4,1,15.394999980926514,test,1,z,14605.000019073486,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),92605.09999996424,I,z,1209,1209,,5,yes,2,1212.800000011921,91392.29999995232,CLJ,CLJ,8036,LC,C,89342,,5
4,1,19.378000020980835,test,0,m,10621.999979019165,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),96587.5,I,z,3968,3968,,6,no,2,3978.7000000476837,92608.79999995232,JGDMNSVPW,JGZMNSVPW,8036,LC,C,90558,,6
5,1,25.426000118255615,test,1,z,4573.999881744385,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),102635.59999996424,I,z,6042,6042,,7,yes,2,6044.699999988079,96590.89999997616,FPTVHKCBJ,FPTVHKCBJ,8036,LC,C,94540,,7
6,1,27.592000007629395,test,1,m,2407.9999923706055,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),104801.5,I,m,2162,2162,,8,no,2,2162.600000023842,102638.89999997616,XRPZBS,ZRPBDH,8036,LC,C,100588,,8
6,1,29.341000080108643,test,0,m,658.9999198913574,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),106550.79999995232,I,z,1741,1741,,9,no,2,1746.0999999642372,104804.69999998808,ZSQ,ZSP,8036,LC,C,102754,,9
6,1,30.007999897003174,test,0,z,-7.999897003173828,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),107217.69999998808,I,None,663,663,,10,yes,2,663.6000000238419,106554.09999996424,MPZRXL,MPZRXL,8036,LC,C,104504,,10
1,2,5.13100004196167,test,1,z,24868.99995803833,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),115498.09999996424,I,z,5128,,5128.0,1,yes,2,8944.0,106554.09999996424,PRDBZTYFN,PRDBZTYFN,8036,LC,C,,108319.0,1
1,2,9.429999828338623,test,0,m,20570.000171661377,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),119796.89999997616,I,z,4284,,4284.0,2,no,2,13242.800000011921,106554.09999996424,NCWJDZ,NCMJDZ,8036,LC,C,,113451.0,2
2,2,10.996000051498413,test,1,m,19003.999948501587,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),121362.59999996424,I,m,1561,,1561.0,3,no,2,14808.5,106554.09999996424,KHW,KBW,8036,LC,C,,117749.0,3
3,2,11.312000036239624,test,1,m,18687.999963760376,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),121679.39999997616,I,m,307,,307.0,4,no,2,15125.300000011921,106554.09999996424,ZRBGMF,ZRBCMF,8036,LC,C,,119315.0,4
4,2,14.74399995803833,test,1,m,15256.00004196167,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),125111.59999996424,I,m,3414,,3414.0,5,no,2,18557.5,106554.09999996424,BTH,BYH,8036,LC,C,,119632.0,5
5,2,19.292999982833862,test,1,z,10707.000017166138,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),129660.39999997616,I,z,4533,,4533.0,6,yes,2,23106.30000001192,106554.09999996424,XWKQRYCNZ,XWKQRYCNZ,8036,LC,C,,123065.0,6
6,2,25.641000032424927,test,1,z,4358.999967575073,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),136008.29999995232,I,z,6328,,6328.0,7,yes,2,29454.19999998808,106554.09999996424,HNPDLK,HNPDLK,8036,LC,C,,127614.0,7
6,2,30.00600004196167,test,0,m,-6.000041961669922,Fri Aug 15 2025 11:30:50 GMT-0500 (Central Daylight Time),140373.39999997616,I,None,4361,,4361.0,8,no,2,33819.30000001192,106554.09999996424,WMQTRSGLZ,WMQTRZGLZ,8036,LC,C,,133961.0,8
